id,class,family,family_cname,cname,name,fullname,is_endemic,iucn_category,source
380587,哺乳綱,Talpidae,鼴鼠科,臺灣鼴鼠,Mogera insularis insularis,"Mogera insularis insularis Swinhoe, 1862 ",1,LC,原生
401752,哺乳綱,Talpidae,鼴鼠科,鹿野氏鼴鼠,Mogera kanoana,"Mogera kanoana Kawada, Shinohara, Kobayashi, Harada, Oda & Lin, 2007 ",1,LC,原生
380515,哺乳綱,Cervidae,鹿科,臺灣山羌,Muntiacus reevesi micrurus,"Muntiacus reevesi micrurus Sclater, 1875 ",1,LC,原生
416113,哺乳綱,Vespertilionidae,蝙蝠科,黃胸管鼻蝠,Murina bicolor,"Murina bicolor Kuo, Fang, Csorba & Lee, 2009 ",1,LC,原生
401693,哺乳綱,Vespertilionidae,蝙蝠科,姬管鼻蝠,Murina gracilis,"Murina gracilis Kuo, Fang, Csorba & Lee, 2009 ",1,LC,原生
380568,哺乳綱,Vespertilionidae,蝙蝠科,臺灣管鼻蝠,Murina puta,"Murina puta Kishida, 1924 ",1,LC,原生
416114,哺乳綱,Vespertilionidae,蝙蝠科,隱姬管鼻蝠,Murina recondita,"Murina recondita Kuo, Fang, Csorba & Lee, 2009 ",1,LC,原生
380597,哺乳綱,Muridae,鼠科,田鼷鼠,Mus caroli,"Mus caroli Bonhote, 1902 ",0,LC,原生
380598,哺乳綱,Muridae,鼠科,家鼷鼠,Mus musculus,"Mus musculus Linnaeus, 1758 ",0,LC,原生
429206,哺乳綱,Mustelidae,貂科,臺灣小黃鼠狼,Mustela nivalis formosana,"Mustela nivalis formosana Lin & Harada, 1997 ",1,VU,原生
416109,哺乳綱,Mustelidae,貂科,黃鼠狼,Mustela sibirica taivana,"Mustela sibirica taivana Thomas, 1913 ",1,LC,原生
430164,哺乳綱,Vespertilionidae,蝙蝠科,臺灣毛腿鼠耳蝠,Myotis fimbriatus taiwanensis,"Myotis fimbriatus taiwanensis Peters, 1870 ",1,LC,原生
401691,哺乳綱,Vespertilionidae,蝙蝠科,金黃鼠耳蝠,Myotis formosus flavus,"Myotis formosus flavus Hodgson, 1835 ",1,VU,原生
401690,哺乳綱,Vespertilionidae,蝙蝠科,長尾鼠耳蝠,Myotis frater,"Myotis frater Allen, 1923 ",0,LC,原生
380572,哺乳綱,Vespertilionidae,蝙蝠科,華南水鼠耳蝠,Myotis laniger,"Myotis laniger Peters, 1870 ",0,LC,原生
438410,哺乳綱,Vespertilionidae,蝙蝠科,大足鼠耳蝠,Myotis pilosus,"Myotis pilosus Peters, 1869 ",0,NA,原生
380570,哺乳綱,Vespertilionidae,蝙蝠科,赤黑鼠耳蝠,Myotis rufoniger,"Myotis rufoniger Kishida, 1924 ",0,LC,原生
401689,哺乳綱,Vespertilionidae,蝙蝠科,長趾鼠耳蝠,Myotis secundus,"Myotis secundus Ruedi, M., Csorba, G., Lin, L.-K. & Chou, C.-H., 2015 ",1,LC,原生
430165,哺乳綱,Vespertilionidae,蝙蝠科,紅棕鼠耳蝠,Myotis soror,"Myotis soror Ruedi, M., Csorba, G., Lin, L.-K. & Chou, C.-H., 2015 ",1,DD,原生
380518,哺乳綱,Felidae,貓科,臺灣雲豹,Neofelis nebulosa brachyura,"Neofelis nebulosa brachyura Swinhoe, 1862 ",1,NA,原生
380551,哺乳綱,Phocoenidae,鼠海豚科,江豚,Neophocaena phocaenoides,"Neophocaena phocaenoides G. Cuvier, 1829 ",0,NA,原生
416095,哺乳綱,Muridae,鼠科,臺灣刺鼠,Niviventer coninga,"Niviventer coninga Swinhoe, 1864 ",1,LC,原生
380600,哺乳綱,Muridae,鼠科,高山白腹鼠,Niviventer culturatus,"Niviventer culturatus Thomas, 1917 ",1,LC,原生
401697,哺乳綱,Vespertilionidae,蝙蝠科,絨山蝠,Nyctalus plancyi velutinus,"Nyctalus plancyi velutinus G. Allen, 1923 ",0,LC,原生
380538,哺乳綱,Delphinidae,海豚科,虎鯨,Orcinus orca,"Orcinus orca Linnaeus, 1758 ",0,NA,原生
380526,哺乳綱,Viverridae,靈貓科,白鼻心,Paguma larvata taivana,"Paguma larvata taivana Swinhoe, 1862 ",1,LC,原生
380539,哺乳綱,Delphinidae,海豚科,瓜頭鯨,Peponocephala electra,"Peponocephala electra Gray, 1846 ",0,NA,原生
380607,哺乳綱,Sciuridae,松鼠科,白面鼯鼠,Petaurista alborufus lena,"Petaurista alborufus lena Thomas, 1907 ",1,LC,原生
